,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
382,"

銀座和縁

","
鉄板焼き、ステーキ、海鮮
","
東京都中央区銀座7-5-12 ニューギンザビル8号館 3F






","

050-5872-2621

","￥10,000","￥14,999","
不定休
","

通常営業11:30～14:00　17:30～23:00　（L.O 22:00）自粛要請期間及び緊急事態宣言中は下記の通りの営業となります。11:30～14:00　17:30～22:00（ドリンクL.O 21:00)※その都度、都からの要請に従っております。
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13149668/,銀座駅
383,"

オステリア オルト（Osteria Orto）
            
","
イタリアン、バル、ダイニングバー
","
東京都世田谷区池尻2-8-3 Willows三宿 1F






","

050-5456-3559

","￥5,000","￥5,999","
水曜日   
","

18:00～28:0018:00〜24:00〔日、祝〕食材や状況等で早く閉める場合もあります深夜帯は電話、snsでご確認お願いします。 
日曜営業
",https://tabelog.com/tokyo/A1317/A131706/13222308/,三軒茶屋駅
384,"

焼肉 牛壱心 浅草EKIMISE店（やきにくぎゅういっしん）
            
","
焼肉、ホルモン、居酒屋
","
東京都台東区花川戸1-4-1 浅草EKIMISE 7F






","

050-5868-1948

","￥2,000","￥2,999","
無休
","

［月～日］11:00～22:00(L.o 21:30)
日曜営業
",https://tabelog.com/tokyo/A1311/A131102/13262649/,浅草駅（東武・都営・メトロ）
385,"

とろさば料理専門店 SABAR 渋谷店

","
居酒屋、海鮮、寿司
","
東京都渋谷区渋谷3-27-11 GEMS渋谷 6F






","

050-5589-9965

","￥3,000","￥3,999","
年末年始
","

【月～金】ランチ　11:38～14:00（L.O.13:30、ドリンクL.O.13:30）【月～日・祝】ディナー　17:00～23:00（L.O.22:00、ドリンクL.O.22:30）
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13276436/,渋谷駅
386,"

魚魯魚魯 東陽町店（ぎょろぎょろ）
            
","
海鮮、寿司、日本酒バー
","
東京都江東区東陽4-3-1 東陽町信栄ビル 1F･2F






","

050-5590-6158

","￥4,000","￥4,999","
日曜日　年末年始はお問い合わせください。
","

※状況次第で営業日・を変更をする可能性がありますのでネットからご予約可能でもお店へご確認ください。【月～土】ランチ11:30-14:30／ディナー16:30-22:30
",https://tabelog.com/tokyo/A1313/A131303/13027693/,東陽町駅
387,"

夏下冬上

","
日本料理、居酒屋、天ぷら
","
東京都新宿区新宿5丁目3-18 






","

050-5597-2637

","￥6,000","￥7,999","
なし（法定点検に準ずるホテル休業日あり）
","

昼食 11:30～14:00（L.O. 13:30）夕食 17:30～22:00（L.O. 21:00）
日曜営業
",https://tabelog.com/tokyo/A1304/A130402/13233651/,新宿御苑前駅
388,"

居食屋 こだわりのれん街 大井町東口駅前店

","
居酒屋、焼き鳥、おでん
","
東京都品川区東大井5-17-2 林ビル 1F～2F






","

050-5890-0390

","￥3,000","￥3,999","
年中無休
","

16:00～翌日3:00　土曜日は15:00～3:00　日曜及び祝休日は15:00～23:00（祝前日は曜日に準ずる）
日曜営業
",https://tabelog.com/tokyo/A1315/A131501/13265991/,大井町駅
389,"

huwadolo（フワドロ）
            
","
カフェ、洋食、ビュッフェ
","
東京都渋谷区渋谷3-29-17 JR東日本ホテルメッツ渋谷 3F






","

050-5570-9889

","￥2,000","￥2,999","
なし
","

朝食6:30～10:30 (Lo.10:00)ランチ11:30～15:00(Lo.14:00)ディナー貸切営業のみです。最大80名様までご利用可能です。詳細はお電話にてご連絡ください。
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13262653/,渋谷駅
390,"

土風炉 銀座コリドー街店

","
居酒屋、海鮮、寿司
","
東京都中央区銀座8-2 コリドー街 1F・2F






","

050-5571-6383

","￥3,000","￥3,999","
元旦のみ
","

【のお知らせ！】◆平日(月～木)ランチ11時30から14時30  ディナー17時から23時◆金曜・祝前日ランチ11時30から14時30  ディナー17時から23時30◆土曜ランチ11時30より23時00までの通し営業◆日曜・祝日ランチ11時30より22時までの通し営業※土日祝は通し営業の為、昼からたっぷり飲みましょ♪
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13011585/,内幸町駅
391,"

Kotetsu

","
バル、イタリアン、豚丼
","
東京都台東区上野7-8-23 サットンプレイスホテル 1F






","

050-5597-5170

","￥2,000","￥2,999","
日曜日(月曜祝日の時は日曜営業、月曜お休みいたします。ご予約がある場合は日曜営業。その他休みあり。)
","

［月～金］17:00～23:30（L.O23:00）［土、祝日前日曜日］17:00〜22:00（L.O21:30）
",https://tabelog.com/tokyo/A1311/A131101/13235611/,上野駅
392,"

イル ポネンティーノ（IL PONENTINO）
            
","
イタリアン、パスタ
","
東京都中央区銀座7-11-3 矢島ビル B1F






","

050-5597-8952

","￥6,000","￥7,999","
不定休(日曜日多い）
","

＊急な変更が常に起こりえます。[月～土]11:30～15:0017:30～21:00 (Door Closed)[日・祝祭日]11:30～15:0017:30～20:00 (Door Closed)
",https://tabelog.com/tokyo/A1301/A130101/13100726/,東銀座駅
393,"

魚串さくらさく 新宿店

","
居酒屋、串揚げ、バル
","
東京都新宿区歌舞伎町1-28-2 第二鈴鹿ビル 1F






","

050-5595-7824

","￥3,000","￥3,999","
1月1日
","

18:00〜23:00（フードドリンクLO22:30）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13222887/,西武新宿駅
394,"

国分寺 沖縄居酒屋 島崎屋

","
居酒屋、沖縄料理、バー
","
東京都国分寺市本町3-5-6 SHビル 2F






","

050-5872-7772

","￥3,000","￥3,999","
日曜日
","

[月〜日]18:00〜26:00（LOフード24:00、ドリンク25:00）
",https://tabelog.com/tokyo/A1325/A132502/13256591/,国分寺駅
395,"

大衆酒場 上海 焼き小籠包（【旧店名】泓源驚安酒場）
            
","
中華料理、居酒屋
","
東京都足立区綾瀬1-33-7 






","

050-5589-5139

","￥1,000","￥1,999","
毎週木曜日　
","

17:00～23:30 （料理L.O. 10:30 ドリンクL.O. 23:00）
日曜営業
",https://tabelog.com/tokyo/A1324/A132404/13232340/,綾瀬駅
396,"

TheOyster's×LAMP（ジオイスターズランプ）
            
","
バル、オイスターバー、居酒屋
","
東京都品川区西五反田2-4-6 ハイホーム五反田 103






","

050-5600-1530

","￥5,000","￥5,999","
不定休
","

「月～金」17：00～23：00(22：00L.O)「土・日・祝」12：00～21：00(20：00L.O)
日曜営業
",https://tabelog.com/tokyo/A1316/A131603/13281427/,五反田駅
397,"

ジンギスカンYOSHIHIKO 麻布十番店

","
ジンギスカン、焼肉、ワインバー
","
東京都港区麻布十番2-5-1 MANIVIA麻布十番 6F






","

050-5868-1041

","￥8,000","￥9,999","
日・祝
","

[月～土]17:30～翌01:00(L.O 24:00)
",https://tabelog.com/tokyo/A1307/A130702/13266287/,麻布十番駅
398,"

酒場シナトラ 東京駅店

","
居酒屋、海鮮、日本酒バー
","
東京都千代田区丸の内1-9-1 東京駅一番街 2F 東京グルメゾン






","

050-5595-7818

","￥4,000","￥4,999","
【","

[月～金]【ランチ】11:00～14:00  【ディナー】14:00〜23:00(L.O. フード22:00 ドリンク22:30)[土]11:00～23:00(L.O. フード22:00 ドリンク22:30)[日・祝〕11:00～22:00(L.O. フード21:00 ドリンク21:30)
日曜営業
",https://tabelog.com/tokyo/A1302/A130201/13222835/,東京駅
399,"

Bar Espanol LA BODEGA 銀座店（バル エスパニョール ラ ボデガ）
            
","
スペイン料理、ワインバー、バル
","
東京都中央区銀座5-2-1 東急プラザ銀座 10Ｆ






","

050-5590-5790

","￥4,000","￥4,999","
不定休(東急プラザ銀座に準ずる)
","

▼通常【ランチ】　11：00 ～ 16：00（L.O.15：00）【ディナー】16：00 ～ 23：00（L.O.22：00）
",https://tabelog.com/tokyo/A1301/A130101/13191704/,銀座駅
400,"

ベルサイユの豚 西新宿

","
バル、イタリアン、肉料理
","
東京都新宿区西新宿6-5-1 アイランドタワー B1F






","

050-5592-2319

","￥3,000","￥3,999","
無（※施設","

■ランチ月～金　　　11:00～14:30(L.O14:00)土・日・祝　11:00～15:00(L.O14:30)■ディナー17:00～22:00(L.O21:00)※混雑時は2時間制でお願いする場合がございます。※新型コロナウィルスの感染拡大防止等の観点から、状況により営業日及びを変更する場合がございます。
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13197334/,西新宿駅
401,"

鉄板和食・おばんざい 亀八

","
居酒屋
","
東京都中央区銀座7-5-4 ラヴィアーレ銀座ビル 6F






","

050-5872-9104

","￥5,000","￥5,999","
日曜日 ＊月曜日祝日の場合は日曜日営業、月曜日お休みとさせていただきます。
","

【月～土】17:00～23:00（22:00 L.O)【日・祝】休業日
",https://tabelog.com/tokyo/A1301/A130101/13257392/,銀座駅
402,"

下町のタイ料理屋さん Yim Siam（ジムサイアム）
            
","
タイ料理、居酒屋、アジア・エスニック
","
東京都台東区上野5-15-17 ソルマーレビル B1F






","

050-5600-1195

","￥3,000","￥3,999","
日曜日、祝祭日
","

11:30～14:30 (LO14:00)17:00～22:00(LO21:30)
",https://tabelog.com/tokyo/A1311/A131101/13279561/,仲御徒町駅
403,"

上州肉と海鮮和食 個室居酒屋 大吉 新宿西口店（だいきち）
            
","
居酒屋、海鮮、しゃぶしゃぶ
","
東京都新宿区西新宿1-18-5 甲新ビル 5F






","

050-5593-7348

","￥3,000","￥3,999","
不定休
","

11:00～0:00お食事　L.O 23:00お飲み物L.O 23:30
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13194009/,新宿駅
404,"

俺のフレンチ・イタリアン 青山

","
フレンチ、バル、イタリアン
","
東京都港区北青山3-11-7 Aoビル 1F






","

03-6450-5911

","￥4,000","￥4,999","
不定休　(Ao＜アオ＞ビルの営業日に準ずる。）
","

【月～金】11:30～15:00、17:00～23:00 LO22:00【土・日・祝】11:30～23:00 LO22:00
日曜営業
",https://tabelog.com/tokyo/A1306/A130601/13160318/,表参道駅
405,"

ひ暮らし

","
居酒屋、海鮮、日本酒バー
","
東京都豊島区南池袋2-8-9 






","

050-5594-7319

","￥6,000","￥7,999","
日曜日
","

平日昼11:30～14:00.  L.O　13:30夜17:00〜22:00  L.O　21:00土曜、祝日15:00〜22:00  L.O    21:00
",https://tabelog.com/tokyo/A1305/A130501/13214408/,都電雑司ケ谷駅
406,"

松尾ジンギスカン 銀座店

","
ジンギスカン、焼肉、居酒屋
","
東京都中央区銀座5-9-5 チアーズ銀座ビル2F






","

050-5595-3807

","￥6,000","￥7,999","
無し
","

[ランチ]11：30～15：00（L.O.14:30）[ディナー]17：00～23：00（L.O.22:30）※状況によりが変更になっている場合がございます。詳しくは店舗までお問い合わせください。
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13117903/,東銀座駅
407,"

タイ料理 タイダイニングプラーローマー 渋谷店

","
タイ料理、居酒屋、ワインバー
","
東京都渋谷区桜ヶ丘30-15 ビバリーヒルズ 101






","

050-5571-2960

","￥3,000","￥3,999","
日曜日・祝日(金、土の祝日の場合は営業致します)
","

月～金ランチ　　11:30～15:30ディナー　17:30～23:00（料理L.O. 22:00）バータイム 22:00～26:00土ディナー　17:00～24:00 (料理L.O.23:00) バータイム　23:00～26:00
",https://tabelog.com/tokyo/A1303/A130301/13219402/,渋谷駅
408,"

お好みたまちゃん 渋谷スクランブルスクエア店

","
お好み焼き、鉄板焼き、居酒屋
","
東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア 13F






","

050-5456-2990

","￥3,000","￥3,999","
不定休 (施設に準ずる)
","

11:00~23:00　(L.O. FOOD 22:00 / DRINK 22:30)LUNCH TIME: 11:00〜17:00
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13240143/,渋谷駅
409,"

さくら麹 新橋店

","
居酒屋、沖縄料理、しゃぶしゃぶ
","
東京都港区新橋1-18-12 新橋一丁目ビル　B1F






","

050-5868-0592

","￥3,000","￥3,999","ランチ営業、夜10時以降入店可
","

[月～金]11:30～15:00(L.O.14:30)16:30～23:00(L.O.22:30)[土・日・祝]",https://tabelog.com/tokyo/A1301/A130103/13112179/,内幸町駅
410,"

Vivace（ヴィヴァーチェ）
            
","
イタリアン、ワインバー、バル
","
東京都新宿区神楽坂3-6 金井ビル 1F






","

050-5890-3162

","￥5,000","￥5,999","
毎週月曜日
","

金曜、土曜は原則として、お席の御利用は二時間半とさせて頂きます。月～土18－26（L.O.25：00）日、祝16－24（L.O.23：00）
日曜営業
",https://tabelog.com/tokyo/A1309/A130905/13258534/,飯田橋駅
411,"

ワインバル 八十郎 パルコヤ店

","
バル、イタリアン、パスタ
","
東京都台東区上野3-24-4 PARCO_ya 6F






","

050-5595-6188

","￥3,000","￥3,999","
無し　※1/1は休業とさせて頂きます。
","

11:00～23:00※ランチ11:00～15:0012/31は11:00〜18:00（ランチメニュー）
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13215002/,上野広小路駅
412,"

手作り居酒屋 たぬき

","
居酒屋、日本酒バー、焼き鳥
","
東京都千代田区内神田3-5-5 大同ビル 202






","

050-5890-4470

","￥3,000","￥3,999","
日、祝日
","

11：30～24:00土曜日予約のみ営業
",https://tabelog.com/tokyo/A1310/A131002/13259728/,神田駅
413,"

リゾットカフェ東京基地 離 スペイン坂店

","
カフェ、パスタ、スイーツ
","
東京都渋谷区宇田川町16-14 松下ビル 2F






","

050-5571-7386

","￥3,000","￥3,999","
無休  (お問い合せください)
","

11:30~23:00ランチ11:30~15:30カフェタイム11:30~16:00ディナー17:00~23:00
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13186791/,渋谷駅
414,"

和牛焼肉食べ放題　肉屋の台所 上野店

","
焼肉、ビュッフェ、居酒屋
","
東京都台東区上野6-14-7 ベリタス岡埜栄泉ビル 7F






","

050-3172-5085

","￥3,000","￥3,999","
年末年始■黒毛和牛がリーズナブルに味わえる大人気の焼肉店！昼飲み・昼宴会メニューまで種類充実
","

【通常通り下記にて営業】【月〜金】16:00～23:00（LO：22:30)【土・日・祝日】12:00～23:00（LO：22:30)※時間外宴会10名様以上で受付外の予約もお気軽にご相談下さい。昼飲み・昼宴会・深夜宴会など大歓迎◎
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13179463/,京成上野駅
415,"

韓無量 飯田橋東口店

","
韓国料理、居酒屋、焼肉
","
東京都千代田区飯田橋4-7-8 第3山商ビルiタワー 3F






","

050-5869-9601

","￥1,000","￥1,999","
なし
","

[月〜木]17:00〜23:3022:20(Ｌ.O)[金曜日]17:00~04:0003:00(L.O)[土・日・祝]16:00〜23:3022:20(L .O)
",https://tabelog.com/tokyo/A1309/A130906/13268440/,飯田橋駅
